"Status","Segment","URL","Page","Primary Keyword","Secondary Keywords","Google Planner Evidence","Competition","Lock Status","Notes / Next Action"
"Live","Drains & Sewers","https://fatehplumelec.com/sewer-line-repair.html","Sewer Line Repair","sewer line repair","sewer repair; sewer line replacement; residential sewer line repair; trenchless sewer line repair","100-1K provided","Needs validation","Needs review","Needs content check against latest menu/page standards."
"Live","Drains & Sewers","https://fatehplumelec.com/sewer-camera-inspection.html","Sewer Camera Inspection","sewer camera inspection","sewer camera; drain camera inspection; video camera inspection; sewer inspection","100-1K provided","Needs validation","Needs review","Good diagnostic page; can support sewer line repair."
"Live","Drains & Sewers","https://fatehplumelec.com/backwater-valve.html","Backwater Valve","backwater valve","backwater valve installation; backwater valve repair; basement flood prevention; sewer backup valve","1K-10K provided","Needs validation","Needs review","High-value basement/sewer prevention page."
"Live","Drains & Sewers","https://fatehplumelec.com/basement-plumbing.html","Basement Plumbing","basement plumbing","basement plumber; basement drain backup; basement rough-in plumbing; basement bathroom plumbing","100-1K provided but -90% noted","Needs validation","Needs review","Keep as support/hub unless planner suggests stronger term."
"Live","Water Systems","https://fatehplumelec.com/water-heater-repair.html","Water Heater Repair","water heater repair","hot water tank repair; water heater service; emergency water heater repair; leaking water heater","1K-10K provided","Low","Needs review","Strong water-system page; verify page depth and internal links."
"Live","Water Systems","https://fatehplumelec.com/tankless-water-heater.html","Tankless Water Heater","tankless water heater","tankless water heater installation; tankless water heater repair; on demand water heater; tankless hot water heater","10K-100K provided","High","Needs review","Very high traffic but broad/high competition; page should be strong and educational."
"Live","Water Systems","https://fatehplumelec.com/reverse-osmosis-system.html","RO System Installation","ro system installation","reverse osmosis system installation; under sink RO system; RO filter installation; drinking water filter installation","100-1K provided","Low","Needs review","Rewritten public-facing page; photo can be updated later."
"Live","Water Systems","https://fatehplumelec.com/sump-pump-repair.html","Sump Pump Repair","sump pump repair","sump pump service; sump pump replacement; basement sump pump repair; emergency sump pump repair","1K-10K provided; +900% change noted","Low","Needs review","Strong page; should link to backwater valve and basement plumbing."
"Live","Water Systems","https://fatehplumelec.com/water-softener.html","Water Softener","water softener","water softener installation; water softener repair; hard water treatment; home water softener","10K-100K provided","High","Needs review","Broad/high-traffic; needs careful service wording to avoid product-only intent."
"Live","Water Systems","https://fatehplumelec.com/water-service-upgrade.html","Water Service Upgrade","water service upgrade","water service line; water line upgrade; trenchless water line replacement; water line replacement; water main repair","10-100 provided","Medium","Needs review","Use upgrade primary; do not label as water line repair in menu."
"Live","Electrical","https://fatehplumelec.com/electrical-services.html","Electrical Services","electrical services Brampton","electrician Brampton; electrical repair; panel upgrade; EV charger; lighting installation","Needs validation","Needs validation","Needs review","Electrical hub."
"Live","Electrical","https://fatehplumelec.com/emergency-electrician.html","Emergency Electrician","emergency electrician Brampton","24 hour electrician; electrical emergency; breaker tripping; power outage repair; sparking outlet","Needs validation","Needs validation","Locked","Red electrical page treatment."
"Live","Electrical","https://fatehplumelec.com/panel-upgrade.html","Panel Upgrade","panel upgrade Brampton","electrical panel upgrade; 200 amp panel upgrade; breaker panel replacement; panel upgrade electrician","Needs validation","Needs validation","Locked","Red electrical page treatment."
"Live","Electrical","https://fatehplumelec.com/ev-charger-installation.html","EV Charger Installation","EV charger installation Brampton","Level 2 charger installation; home EV charger installation; Tesla charger installation; EV charger electrician","Needs validation","Needs validation","Locked","Red electrical page treatment."
"Live","Electrical","https://fatehplumelec.com/lighting-smart-home.html","Lighting Installation","lighting installation Brampton","pot light installation; fixture installation; smart switch installation; smart home electrical","Needs validation","Needs validation","Locked","Red electrical page treatment."
"Live","Commercial","https://fatehplumelec.com/commercial.html","Commercial Plumbing & Electrical","commercial plumbing Brampton","commercial plumber; commercial electrical service; business plumbing; restaurant plumbing; property maintenance","Needs validation","Needs validation","Needs review","Commercial hub."
"Live","Commercial","https://fatehplumelec.com/commercial-emergency.html","Commercial Emergency Service","commercial emergency plumbing","24/7 commercial emergency; restaurant plumbing emergency; commercial leak repair; business plumbing emergency","Needs validation","Needs validation","Needs review","Older/generated page may need modern style review."
"Live","Commercial","https://fatehplumelec.com/commercial-kitchen-plumbing.html","Commercial Kitchen Plumbing","commercial kitchen plumbing","restaurant kitchen plumbing; commercial sink plumbing; food service plumbing; kitchen drain repair","Needs validation","Needs validation","Needs review","Commercial food-service page."
"Live","Commercial","https://fatehplumelec.com/restaurant-plumbing.html","Restaurant Plumbing","restaurant plumbing","restaurant plumber; food service plumbing; restaurant drain cleaning; commercial kitchen plumbing","Needs validation","Needs validation","Needs review","Commercial restaurant page."
"Live","Commercial","https://fatehplumelec.com/grease-trap-cleaning.html","Grease Trap Cleaning","grease trap cleaning","grease trap service; restaurant grease trap cleaning; commercial grease trap maintenance","Needs validation","Needs validation","Needs review","Commercial kitchen support page."
"Live","Commercial","https://fatehplumelec.com/grease-trap-installation.html","Grease Trap Installation","grease trap installation","commercial grease trap installation; restaurant grease interceptor; grease trap plumber","Needs validation","Needs validation","Needs review","Commercial kitchen support page."
"Live","Commercial","https://fatehplumelec.com/maintenance-contracts.html","Maintenance Contracts","plumbing maintenance contracts","commercial plumbing maintenance; property maintenance plumbing; preventative plumbing maintenance","Needs validation","Needs validation","Needs review","Commercial recurring-service page."
"Live","Commercial","https://fatehplumelec.com/property-management-plumbing.html","Property Management Plumbing","property management plumbing","rental property plumbing; condo plumbing service; landlord plumbing; property manager plumber","Needs validation","Needs validation","Needs review","Commercial/property page."
"Live","Commercial","https://fatehplumelec.com/backflow-prevention.html","Backflow Prevention","backflow prevention","backflow prevention Brampton; backflow inspection; backflow testing; commercial plumbing compliance","Needs validation","Needs validation","Needs review","Legacy/raw page should be reviewed before locking."
"Live","Support","https://fatehplumelec.com/services.html","Plumbing Services","plumbing services Brampton","emergency plumbing; drain cleaning; leak repair; water heater repair; sewer line repair","Needs validation","Needs validation","Needs review","All-services hub."
"Live","Support","https://fatehplumelec.com/about.html","About","Fateh Plumbing Electric","Brampton plumbing company; local plumber; licensed insured plumbing electrical","Brand/support page","Low SEO priority","Needs review","Company trust page."
"Live","Support","https://fatehplumelec.com/contact.html","Contact","contact plumber Brampton","request plumbing service; contact electrician Brampton; emergency service request; quote request","Brand/support page","Low SEO priority","Needs review","Lead page; form sync working."
"Live","Support","https://fatehplumelec.com/blog.html","Blog","plumbing electrical tips","plumbing tips; electrical safety tips; drain prevention; water heater tips; homeowner maintenance","Needs content plan","Needs validation","Needs review","Blog should support service pages."
"Live","Legal","https://fatehplumelec.com/disclaimer.html","Disclaimer","website disclaimer","electrical contractor disclaimer; information notice; service disclaimer","Legal/support page","Low SEO priority","Locked","Do not rewrite without approval."
